tweetDate,content,twitterProfile,tweetUrl,timestamp,query
Tue Nov 03 07:47:28 +0000 2020,"So don't you people know conflict of interest? Did it have to take the Special Prosecutor to tell you?

#KickNanaOut 

#iTrustJM 
#JMandJane2020 
#JohnMahama2020",https://twitter.com/007_herbie,https://twitter.com/007_herbie/status/1323532229474193408,2020-11-04T16:04:52.012Z,#JohnMahama2020
Tue Nov 03 18:41:00 +0000 2020,Joe and Kamala = John and Jane #AmericaDecides2020 #JohnMahama2020,https://twitter.com/mrkai_29,https://twitter.com/mrkai_29/status/1323696699458625536,2020-11-04T16:04:52.012Z,#JohnMahama2020
Sat Oct 31 13:58:06 +0000 2020,"✌✌✌✌🗳🗳🗳🇬🇭🇬🇭🇬🇭🇬🇭🇬🇭❤❤❤❤❤
#JohnMahama2020 
#MahamaAfa https://t.co/pizat3W5q9",https://twitter.com/realnaajudith,https://twitter.com/realnaajudith/status/1322538340365799425,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 19:06:30 +0000 2020,#GreedyMahama #MaintainNanaAddo #DriveOnJoy #NDCmanifesto #angelsports #JohnMahama2020  Anfield lingard #RescueMission Agyapa #AwardWinningErica  #4More4Nana #puredrive Wahala #JMandJane2020  sulley muniru kennedy agyapong Asante Kotoko Apple #NaleriguWasteRecycling #NoVote2020 https://t.co/ZyzkFrvk2V,https://twitter.com/SALAMBASHIRUDE1,https://twitter.com/SALAMBASHIRUDE1/status/1323340728777478145,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 11:51:41 +0000 2020,"@NsiaAvena @FelixKwakyeOfo1 Only Jesus can stop Felix and JM from winning. 
#JohnMahama2020",https://twitter.com/Dejoh36,https://twitter.com/Dejoh36/status/1323231300157845509,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 18:09:40 +0000 2020,"1.JDM didn't make his baby mama an ambassador. 
2.JDM didn't give out the duty-free shop at KIA to his daughter. 
3.JDM didn't put his daughter on the CREATIVE ARTS BOARD 
4.JDM didn't make his cousin the finance minister. 
5.JDM didn't surround himself with family and tribesmen.",https://twitter.com/FiazorliEric,https://twitter.com/FiazorliEric/status/1323326422715453442,2020-11-04T16:04:52.012Z,#JohnMahama2020
Sun Nov 01 10:17:55 +0000 2020,"KYEM P3
#JMandJane2020
#JohnMahama2020 https://t.co/HryhlSPQfB",https://twitter.com/kin_dii4,https://twitter.com/kin_dii4/status/1322845316853497858,2020-11-04T16:04:52.012Z,#JohnMahama2020
Sun Nov 01 13:19:51 +0000 2020,"Our sacred duty is to deliver true change for our fellow Ghanaians, who deserve to live a better and dignified life. Let’s go out there and Get Out The Vote. 
The Time for Change is now. 

#AllGhanaiansMatter 
#JohnMahama2020 https://t.co/IVjwX9Xnt9",https://twitter.com/Citizen__Kay,https://twitter.com/Citizen__Kay/status/1322891102333083648,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 11:22:18 +0000 2020,"Free Primary Health Care will be the single largest social intervention under the 4th Republic. 
- @JDMahama 

#AllGhanaiansMatter
#JMandJane2020
#NDCmanifesto https://t.co/fkax3HborB",https://twitter.com/CheEsquire,https://twitter.com/CheEsquire/status/1323223908594712578,2020-11-04T16:04:52.012Z,#JohnMahama2020
Thu Oct 29 16:12:08 +0000 2020,"@GabbyDarko The Cedi was the worse performing in the world and you took it and did what to it? What have you changed in Ghana. We are still chasing our tails. And you borrowed ghc150b and nothing to show but sob cutting.  Tweaaa.

#KickNanaOut 

#iTrustJM 
#JMandJane2020 
#JohnMahama2020",https://twitter.com/007_herbie,https://twitter.com/007_herbie/status/1321847294552133632,2020-11-04T16:04:52.012Z,#JohnMahama2020
Sun Nov 01 08:15:45 +0000 2020,"#AllGhanaiansMatter
#NDCmanifesto
#JohnMahama2020

John Dramani Mahama https://t.co/3jmTU1az14",https://twitter.com/CitizenElorm,https://twitter.com/CitizenElorm/status/1322814571388743680,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 10:20:34 +0000 2020,"Superior!

#JohnMahama2020 
#NDCmanifesto https://t.co/3DLhU46God",https://twitter.com/marcusadampah,https://twitter.com/marcusadampah/status/1323208373026852864,2020-11-04T16:04:52.012Z,#JohnMahama2020
Tue Nov 03 07:41:57 +0000 2020,"Now on the Citi Breakfast Show:

Special Prosecutor raises concerns with Agyapa Royalties deal 

Full story here: https://t.co/DfyMg6CoEW #CitiCBS",https://twitter.com/Citi973,https://twitter.com/Citi973/status/1323530843835539456,2020-11-04T16:04:52.012Z,#JohnMahama2020
Wed Oct 28 20:37:49 +0000 2020,"H.E. John Dramani Mahama entering Ashaiman

#iTrustJM
#JohnMahama2020 https://t.co/ubH2XFGRog",https://twitter.com/QayDanso,https://twitter.com/QayDanso/status/1321551767218409475,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 20:28:06 +0000 2020,#JohnMahama2020 https://t.co/owBdJB9GfF,https://twitter.com/Kwakurafiki1,https://twitter.com/Kwakurafiki1/status/1323361263863422977,2020-11-04T16:04:52.012Z,#JohnMahama2020
Thu Oct 29 19:48:35 +0000 2020,"In 39 days, my friends and I will be voting for a Government that will allow us to use our SSNIT Contributions as a Mortgage for a house.

The National Mortgage Assistance Scheme will make that possible and we trust John Mahama to deliver. 

#TeamRevolution 
#JohnMahama2020 https://t.co/FCicwdq4AD",https://twitter.com/Jahguide6,https://twitter.com/Jahguide6/status/1321901767068684289,2020-11-04T16:04:52.012Z,#JohnMahama2020
Tue Nov 03 23:23:04 +0000 2020,Jota | Bayern | Sheldon | Bobby | #JMandJane2020 #JohnMahama2020 #KickNanaOut #4More4Nana #ATALIV #HalaMadrid #HappyBirthdayDorathy #Elections2020 https://t.co/fZGu47HyvF,https://twitter.com/dark_sand01,https://twitter.com/dark_sand01/status/1323767683406565376,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 21:00:57 +0000 2020,"It was an #OkadaConnect and #GhettoConnect Today at Ayawaso North (circle) and Korle Klottey constituency explaining the People’s Manifesto from dawn to dust. 

Free Primary Health Care &amp; National  Apprenticeship Program is coming 

#JMandJane2020
#JohnMahama2020 
#GhettoConnect https://t.co/4rfJzUIm48",https://twitter.com/RepairGhana,https://twitter.com/RepairGhana/status/1323369527787294721,2020-11-04T16:04:52.012Z,#JohnMahama2020
Sun Nov 01 22:34:45 +0000 2020,The next NDC Government will ensure proper linkages between the telecommunications sector and financial services to enhance financial innovation and cashless transactions to stimulate private sector growth and development. #VoteJM2020 #JohnMahama2020 #iTrustJM ✌️ https://t.co/U1HcJkCNVO,https://twitter.com/close_range_,https://twitter.com/close_range_/status/1323030747826032640,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 08:09:13 +0000 2020,#AgyapaRoyalThieves RT @tabi_henry: #JohnMahama2020 #RescueMission2020 https://t.co/pMyPzI5VaY,https://twitter.com/AmaTailor,https://twitter.com/AmaTailor/status/1323175318178435072,2020-11-04T16:04:52.012Z,#JohnMahama2020
Fri Oct 30 16:57:32 +0000 2020,@JDMahama #JohnMahama2020 🔥,https://twitter.com/RudolfKwame,https://twitter.com/RudolfKwame/status/1322221109538967555,2020-11-04T16:04:52.012Z,#JohnMahama2020
Sat Oct 31 19:47:11 +0000 2020,"@JQuainyin Vim ✊🏾
#MomentofTruth
#iTrustJM 
#JohnAndJane2020 
#JohnMahama2020",https://twitter.com/Espania_Mint,https://twitter.com/Espania_Mint/status/1322626189127766016,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 17:52:43 +0000 2020,"#iTrustJM
#JohnMahama2020
#NDCManifesto
#RescueMission
#Istand4JM
#rescueghana
#mpowerpeople
#mpowerghana
#ghanapolitics
#ghpolitics
#ghpoliticsonline
#ghelections https://t.co/kO0po1FFyf",https://twitter.com/akua86,https://twitter.com/akua86/status/1323322159285022721,2020-11-04T16:04:52.012Z,#JohnMahama2020
Thu Oct 29 12:46:16 +0000 2020,Grammy Desmond Elliot Davido #BlackStarAlbum Foolish #wizkid #Dealer Samini Bayern Kante #Together4Nengi #DaybreakHitz #ShoutsOnY Ghana sammy gyamfi #CrossoverWithOtabil asem #TertiaryMusicAwards Free SHS #RescueMission #KickNanaOut #JMandJane2020 #JohnMahama2020 #EricaOnYouTube https://t.co/SJ875EkuL3,https://twitter.com/EMMANUE60860735,https://twitter.com/EMMANUE60860735/status/1321795484906905601,2020-11-04T16:04:52.012Z,#JohnMahama2020
Tue Nov 03 10:00:06 +0000 2020,Facts are sacred. https://t.co/dXcgtb0FU9,https://twitter.com/OfficialNDCGh,https://twitter.com/OfficialNDCGh/status/1323565610152960000,2020-11-04T16:04:52.012Z,#JohnMahama2020
Tue Oct 27 10:06:08 +0000 2020,#JohnMahama2020 https://t.co/hf8c53Ub7h,https://twitter.com/NDC20202,https://twitter.com/NDC20202/status/1321030411414364160,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 20:59:24 +0000 2020,"#2

#JohnMahama2020
#JMandJane2020 https://t.co/AYsqB3aSAM",https://twitter.com/EmmanuelKojoAp8,https://twitter.com/EmmanuelKojoAp8/status/1323369139700965378,2020-11-04T16:04:52.012Z,#JohnMahama2020
Sat Oct 31 21:34:51 +0000 2020,"In the Next 37 days, We are voting John Mahama to pay 50% of our school fees for 2020 / 2021 academic year.

All Tertiary students will pay only 50% of their school fees for 2020 /2021 academic in the next NDC government.

Kyemu Pɛ deɛ ɛyɛ!!!

#JMandJane2020
#JohnMahama2020 https://t.co/dfyGaZ90As",https://twitter.com/addico_manuel,https://twitter.com/addico_manuel/status/1322653285875126272,2020-11-04T16:04:52.012Z,#JohnMahama2020
Sun Nov 01 20:06:37 +0000 2020,#JohnMahama2020 https://t.co/ibyBc1QaZI,https://twitter.com/NdcStu,https://twitter.com/NdcStu/status/1322993469070168064,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 14:53:38 +0000 2020,#JohnMahama2020 https://t.co/jr3LNuutfY,https://twitter.com/Kwakurafiki1,https://twitter.com/Kwakurafiki1/status/1323277092272877571,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 13:58:35 +0000 2020,#JohnMahama2020 #JMandJane2020 https://t.co/HIrjE9lXVS,https://twitter.com/close_range_,https://twitter.com/close_range_/status/1323263235588415489,2020-11-04T16:04:52.012Z,#JohnMahama2020
Tue Nov 03 17:02:37 +0000 2020,@AsieduMends #JohnMahama2020 https://t.co/aV6GAyUqVa,https://twitter.com/Kwakurafiki1,https://twitter.com/Kwakurafiki1/status/1323671940637302784,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 16:23:34 +0000 2020,#JohnMahama2020 https://t.co/RC7FYGMCmh,https://twitter.com/close_range_,https://twitter.com/close_range_/status/1323299721910362113,2020-11-04T16:04:52.012Z,#JohnMahama2020
Wed Oct 28 09:10:55 +0000 2020,"In the next NDC government, SSNIT contributors of 15yrs &amp; above can use their contributions as mortgage loans to acquire houses for themselves before retirement.

VOTE NO. 2
#NDCManifesto
#2Sure 
#JohnMahama2020
#JobsAndProsperityForAll https://t.co/3oFjCl4AXA",https://twitter.com/selina_boatengg,https://twitter.com/selina_boatengg/status/1321378903605301248,2020-11-04T16:04:52.012Z,#JohnMahama2020
Fri Oct 30 20:14:47 +0000 2020,"Eye Zo Eye Za

#iTrustJM 
#JMandJane2020 
#JohnMahama2020",https://twitter.com/007_herbie,https://twitter.com/007_herbie/status/1322270749147779074,2020-11-04T16:04:52.012Z,#JohnMahama2020
Sat Oct 31 01:33:15 +0000 2020,"I paid a courtesy call on the Volta Regional House of Chiefs. 

#EverybodyMatters
#JMandJane2020
#JohnAndJane2020 https://t.co/ggIG96oXyA",https://twitter.com/NJOAgyemang,https://twitter.com/NJOAgyemang/status/1322350891635265537,2020-11-04T16:04:52.012Z,#JohnMahama2020
Tue Nov 03 16:50:07 +0000 2020,"@JDMahama will win the election so easily !! No negotiation !! 
#TheRescueMission #ThePeoplesManifesto
#JohnMahama2020
#MahamaAfa",https://twitter.com/ralf_raph,https://twitter.com/ralf_raph/status/1323668794401763328,2020-11-04T16:04:52.012Z,#JohnMahama2020
Sun Nov 01 19:41:37 +0000 2020,"The Light Up Ghana initiative will bring 'light' to every home in Ghana. Every community, every home shall benefit from this programme. Get your voter IDs ready! We are getting close to kicking out this inept and clueless government. Time to go for #JMandJane2020 #JohnMahama2020 https://t.co/M1vfpch2t8",https://twitter.com/AbukariMustafa,https://twitter.com/AbukariMustafa/status/1322987177547075585,2020-11-04T16:04:52.012Z,#JohnMahama2020
Wed Oct 28 11:13:51 +0000 2020,"We are voting for Change, we want a leadership that works for ALL, not a privileged few. 

We are Young, We Are Ghana🇬🇭. 

WE TRUST JM ! 

#TeamRevolution.
#JohnMahama2020 https://t.co/RDCRNZnIIX",https://twitter.com/immanuel_blanco,https://twitter.com/immanuel_blanco/status/1321409840175063041,2020-11-04T16:04:52.012Z,#JohnMahama2020
Tue Nov 03 09:26:28 +0000 2020,"John Mahama and the NDC's plan in Ashanti Region for Nana Akufo-Addo's next visit revealed
https://t.co/t8BOSnH4oD

Download Now
https://t.co/hphfwfvHTI 
#JohnMahama2020 
#4MoreForNana",https://twitter.com/SIRSANTENE,https://twitter.com/SIRSANTENE/status/1323557145162452993,2020-11-04T16:04:52.012Z,#JohnMahama2020
Mon Nov 02 18:48:03 +0000 2020,#HiKiddwaya #GreedyMahama #DriveOnJoy #NDCmanifesto Champions League Anfield Agyapa #4More4Nana #puredrive #KickNanaOut Asante Kotoko #NaleriguWasteRecycling #LikeThat Lagos wendy shay Lingard wassce #NengiTheEntrepreneur #JohnMahama2020 #AwardWinningErica #JMandJane2020 https://t.co/Vhm4TZukOn,https://twitter.com/RaheemaYawson,https://twitter.com/RaheemaYawson/status/1323336084231725057,2020-11-04T16:04:52.012Z,#JohnMahama2020
